
> mm-profit@0.1.0 bot
> node bot.js

Target token mint (Gbu7JAKhTVtGyRryg8cYPiKNhonXpUqbrZuCDjfUpump): 2025-12-22 15:38:49 | CONFIG step pct 15,25,60 (total 100%) | alloc 88% -> 0.270361 SOL
time                | mode   | step   | avg            | px             | move       | pos_sol    | trade_pnl  | wallet_pnl | sol_bal   
2025-12-22 19:15:39 | POS    | 2/3    | 0.000081       | 0.000080       | 1.25%      | 0.109547   | -0.002063  | 0.007704   | 0.205386  
2025-12-22 19:15:44 | POS    | 2/3    | 0.000081       | 0.000080       | 0.85%      | 0.110198   | -0.001412  | 0.008356   | 0.205386  
2025-12-22 19:15:50 | POS    | 2/3    | 0.000081       | 0.000080       | 0.85%      | 0.110198   | -0.001412  | 0.008356   | 0.205386  
2025-12-22 19:15:55 | POS    | 2/3    | 0.000081       | 0.000080       | 0.95%      | 0.109874   | -0.001737  | 0.008031   | 0.205386  
2025-12-22 19:16:01 | POS    | 2/3    | 0.000081       | 0.000080       | 1.47%      | 0.109547   | -0.002063  | 0.007704   | 0.205386  
2025-12-22 19:16:06 | POS    | 2/3    | 0.000081       | 0.000080       | 1.27%      | 0.109586   | -0.002024  | 0.007743   | 0.205386  
2025-12-22 19:16:11 | POS    | 2/3    | 0.000081       | 0.000080       | 1.27%      | 0.109572   | -0.002038  | 0.007729   | 0.205386  
time                | mode   | step   | avg            | px             | move       | pos_sol    | trade_pnl  | wallet_pnl | sol_bal   
2025-12-22 19:16:17 | POS    | 2/3    | 0.000081       | 0.000080       | 1.25%      | 0.109547   | -0.002063  | 0.007704   | 0.205386  
2025-12-22 19:16:22 | POS    | 2/3    | 0.000081       | 0.000079       | 1.83%      | 0.109014   | -0.002596  | 0.007171   | 0.205386  
2025-12-22 19:16:27 | POS    | 2/3    | 0.000081       | 0.000079       | 2.34%      | 0.108886   | -0.002724  | 0.007043   | 0.205386  
2025-12-22 19:16:33 | POS    | 2/3    | 0.000081       | 0.000079       | 1.60%      | 0.112402   | 0.000790   | 0.010559   | 0.205386  
2025-12-22 19:16:38 | POS    | 2/3    | 0.000081       | 0.000080       | 1.13%      | 0.110335   | -0.001275  | 0.008492   | 0.205386  
2025-12-22 19:16:43 | POS    | 2/3    | 0.000081       | 0.000080       | 1.13%      | 0.110241   | -0.001369  | 0.008398   | 0.205386  
2025-12-22 19:16:49 | POS    | 2/3    | 0.000081       | 0.000080       | 1.02%      | 0.110300   | -0.001310  | 0.008457   | 0.205386  
2025-12-22 19:16:54 | POS    | 2/3    | 0.000081       | 0.000080       | 1.25%      | 0.109547   | -0.002063  | 0.007704   | 0.205386  
2025-12-22 19:16:59 | POS    | 2/3    | 0.000081       | 0.000080       | 1.25%      | 0.109547   | -0.002063  | 0.007704   | 0.205386  
2025-12-22 19:17:05 | POS    | 2/3    | 0.000081       | 0.000081       | -0.06%     | 0.111602   | -0.000008  | 0.009760   | 0.205386  
2025-12-22 19:17:10 | POS    | 2/3    | 0.000081       | 0.000081       | -0.06%     | 0.111363   | -0.000247  | 0.009520   | 0.205386  
2025-12-22 19:17:15 | POS    | 2/3    | 0.000081       | 0.000081       | -0.20%     | 0.111588   | -0.000023  | 0.009745   | 0.205386  
2025-12-22 19:17:21 | POS    | 2/3    | 0.000081       | 0.000081       | -0.34%     | 0.112127   | 0.000516   | 0.010285   | 0.205386  
2025-12-22 19:17:26 | POS    | 2/3    | 0.000081       | 0.000082       | -1.39%     | 0.112933   | 0.001322   | 0.011090   | 0.205386  
2025-12-22 19:17:32 | POS    | 2/3    | 0.000081       | 0.000082       | -1.50%     | 0.113011   | 0.001400   | 0.011168   | 0.205386  
2025-12-22 19:17:37 | POS    | 2/3    | 0.000081       | 0.000082       | -1.56%     | 0.113274   | 0.001663   | 0.011431   | 0.205386  
2025-12-22 19:17:42 | POS    | 2/3    | 0.000081       | 0.000082       | -1.56%     | 0.113290   | 0.001679   | 0.011447   | 0.205386  
2025-12-22 19:17:48 | POS    | 2/3    | 0.000081       | 0.000082       | -1.56%     | 0.113290   | 0.001679   | 0.011447   | 0.205386  
2025-12-22 19:17:53 | POS    | 2/3    | 0.000081       | 0.000082       | -1.21%     | 0.112481   | 0.000870   | 0.010638   | 0.205386  
2025-12-22 19:17:58 | POS    | 2/3    | 0.000081       | 0.000082       | -1.26%     | 0.111477   | -0.000133  | 0.009634   | 0.205386  
time                | mode   | step   | avg            | px             | move       | pos_sol    | trade_pnl  | wallet_pnl | sol_bal   
2025-12-22 19:18:03 | POS    | 2/3    | 0.000081       | 0.000082       | -1.56%     | 0.113253   | 0.001642   | 0.011410   | 0.205386  
2025-12-22 19:18:09 | POS    | 2/3    | 0.000081       | 0.000082       | -1.23%     | 0.112874   | 0.001263   | 0.011031   | 0.205386  
2025-12-22 19:18:14 | POS    | 2/3    | 0.000081       | 0.000082       | -1.76%     | 0.112836   | 0.001225   | 0.010993   | 0.205386  
2025-12-22 19:18:19 | POS    | 2/3    | 0.000081       | 0.000082       | -1.81%     | 0.112710   | 0.001098   | 0.010867   | 0.205386  
2025-12-22 19:18:25 | POS    | 2/3    | 0.000081       | 0.000082       | -1.89%     | 0.112860   | 0.001249   | 0.011017   | 0.205386  
2025-12-22 19:18:30 | POS    | 2/3    | 0.000081       | 0.000082       | -1.89%     | 0.112875   | 0.001264   | 0.011032   | 0.205386  
2025-12-22 19:18:36 | POS    | 2/3    | 0.000081       | 0.000083       | -2.11%     | 0.113480   | 0.001869   | 0.011637   | 0.205386  
2025-12-22 19:18:41 | POS    | 2/3    | 0.000081       | 0.000082       | -1.89%     | 0.111477   | -0.000133  | 0.009634   | 0.205386  
2025-12-22 19:18:46 | POS    | 2/3    | 0.000081       | 0.000083       | -3.13%     | 0.115133   | 0.003522   | 0.013290   | 0.205386  
2025-12-22 19:18:52 | POS    | 2/3    | 0.000081       | 0.000084       | -3.51%     | 0.111477   | -0.000133  | 0.009634   | 0.205386  
2025-12-22 19:18:57 | POS    | 2/3    | 0.000081       | 0.000084       | -3.51%     | 0.114770   | 0.003159   | 0.012927   | 0.205386  
2025-12-22 19:19:02 | POS    | 2/3    | 0.000081       | 0.000084       | -3.37%     | 0.114624   | 0.003013   | 0.012781   | 0.205386  
2025-12-22 19:19:08 | POS    | 2/3    | 0.000081       | 0.000080       | 0.94%      | 0.111519   | -0.000091  | 0.009677   | 0.205386  
2025-12-22 19:19:13 | POS    | 2/3    | 0.000081       | 0.000080       | 0.94%      | 0.115115   | 0.003504   | 0.013272   | 0.205386  
2025-12-22 19:19:18 | POS    | 2/3    | 0.000081       | 0.000084       | -3.63%     | 0.115320   | 0.003708   | 0.013477   | 0.205386  
2025-12-22 19:19:24 | POS    | 2/3    | 0.000081       | 0.000080       | 0.94%      | 0.115289   | 0.003677   | 0.013446   | 0.205386  
2025-12-22 19:19:29 | POS    | 2/3    | 0.000081       | 0.000085       | -4.75%     | 0.116824   | 0.005213   | 0.014982   | 0.205386  
2025-12-22 19:19:34 | POS    | 2/3    | 0.000081       | 0.000086       | -6.79%     | 0.119171   | 0.007560   | 0.017328   | 0.205386  
2025-12-22 19:19:40 | POS    | 2/3    | 0.000081       | 0.000086       | -6.46%     | 0.111519   | -0.000091  | 0.009677   | 0.205386  
2025-12-22 19:19:45 | POS    | 2/3    | 0.000081       | 0.000086       | -6.73%     | 0.111519   | -0.000091  | 0.009677   | 0.205386  
time                | mode   | step   | avg            | px             | move       | pos_sol    | trade_pnl  | wallet_pnl | sol_bal   
2025-12-22 19:19:50 | POS    | 2/3    | 0.000081       | 0.000080       | 0.94%      | 0.118543   | 0.006932   | 0.016700   | 0.205386  
2025-12-22 19:19:56 | POS    | 2/3    | 0.000081       | 0.000086       | -6.83%     | 0.118543   | 0.006932   | 0.016700   | 0.205386  
2025-12-22 19:20:01 | POS    | 2/3    | 0.000081       | 0.000086       | -6.86%     | 0.118348   | 0.006737   | 0.016505   | 0.205386  
